[14626,20489]
[22175,22224]
[25025,19228]
[6912,3822]
[13110,4952]
[10880,6335]
[17534,29656]
[3112,27189]
[28859,25566]
[18458,3175]
[15032,4735]
[4205,9947]
[6695,19505]
[10733,17297]
[26568,12891]
[9981,28107]
[28759,10425]
[18677,20622]
[3035,19772]
[21096,23948]
[19346,19156]
[24199,24890]
[16444,25648]
[14301,1138]
[4093,16784]
[1643,14317]
[5660,29758]
[9904,27664]
[15866,15691]
[6933,7457]
[14962,4579]
[27953,16470]
[10379,4353]
[25862,16576]
[7524,25507]
[464,14978]
[19215,2782]
[412,21786]
[28046,299]
[20797,14758]
[4332,25538]
[15741,25170]
[10191,11677]
[6821,12837]
[3003,25381]
[27506,23993]
[18785,16433]
[19186,16298]
[20310,20972]
[3504,22729]
[13253,21586]
[18185,6602]
[1528,892]
[14984,14391]
[12486,22]
[2806,5139]
[9162,14115]
[22073,23817]
[2920,10951]
[328,28532]
[3761,26007]
[22218,23835]
[2238,5124]
[15087,25683]
[10812,6828]
[20059,18257]
[8825,7728]
[4905,7555]
[8687,8719]
[5995,23809]
[11901,11654]
[1018,6322]
[23677,14429]
[12822,14700]
[22316,13132]
[22007,16700]
[8129,10150]
[29025,967]
[28646,5645]
[13991,27791]
[7689,9197]
[12700,8711]
[4163,26279]
[8321,14983]
[15102,16209]
[9558,4032]
[7618,13164]
[4259,20066]
[8988,595]
[17621,13751]
[19383,24724]
[29395,27333]
[16388,17292]
[23912,3693]
[28683,5772]
[16368,25117]
[28585,5343]
[13512,23531]
[89,14313]
[8592,11726]
[18248,20264]
[6194,23271]
[25498,12046]
[14958,28729]
[25929,6586]
[15723,26203]
[17584,28088]
[27018,23758]
[9668,818]
[19360,10394]
[15393,17469]
[1903,1173]
[13974,17982]
[14239,16687]
[27348,4919]
[24598,20337]
[21663,4268]
[23412,23547]
[24742,23346]
[23014,7664]
[8572,6643]
[12158,14910]
[22468,4839]
[16292,29541]
[11092,19451]
[29605,16359]
[19668,17236]
[15917,12846]
[8267,26236]
[11923,28231]
[14311,18268]
[1927,25632]
[26491,25679]
[26872,11094]
[28529,19103]
[2330,12782]
[17044,11072]
[8635,7640]
[3637,28564]
[25557,17949]
[9366,16224]
[13576,3300]
[20616,24663]
[27402,19483]
[2815,2352]
[6413,12305]
[20015,14112]
[25013,4930]
[3531,7145]
[15591,18814]
[18284,156]
[7637,23071]
[21045,1298]
[13557,27365]
[24694,11585]
[3960,24936]
[20333,22650]
[4631,16332]
